Região,Município,UF,Lat,Long
Mantiqueira de Minas (Denominação de Origem),Santa Rita do Sapucaí,MG,-22.2521628,-45.7037394
Mantiqueira de Minas (Denominação de Origem),São Sebastião da Bela Vista,MG,-22.1581934,-45.7548351
Chapada de Minas,Água Boa,MG,-16.966667,-44.283333
Chapada de Minas,Botumirim,MG,-16.861853,-43.0102148
Chapada de Minas,Datas,MG,-18.4474362,-43.6583151
Chapada de Minas,Itabirinha,MG,-18.5682016,-41.2344298
Chapada de Minas,Leme do Prado,MG,-17.0813353,-42.694888
Chapada de Minas,Montes Claros,MG,-16.7291552,-43.8670745
Chapada de Minas,Santa Efigênia de Minas,MG,-18.8282807,-42.4393551
Chapada de Minas,Serra Azul de Minas,MG,-18.3612056,-43.1708836
Chapada de Minas,Gameleiras,MG,-15.0829225,-43.1185339
Chapada de Minas,Padre Carvalho,MG,-16.3660734,-42.5146782
Chapada de Minas,Veredinha,MG,-17.3978038,-42.7364016
Chapada de Minas,Águas Formosas,MG,-17.0834392,-40.933945
Chapada de Minas,Cachoeira de Pajeú,MG,-15.9677317,-41.4959964
Chapada de Minas,Diamantina,MG,-18.2441852,-43.598022
Chapada de Minas,Itacambira,MG,-17.0634045,-43.3082631
Chapada de Minas,Malacacheta,MG,-17.8442329,-42.0789785
Chapada de Minas,Montezuma,MG,-15.170387,-42.49871599999999
Chapada de Minas,Santa Helena de Minas,MG,-16.9385841,-40.6821806
Chapada de Minas,Serra dos Aimorés,MG,-17.7886344,-40.2446234
Chapada de Minas,Glaucilândia,MG,-16.8501057,-43.69667099999999
Chapada de Minas,Padre Paraíso,MG,-17.0749651,-41.4853049
Chapada de Minas,Virgem da Lapa,MG,-16.8044995,-42.3401051
Chapada de Minas,Águas Vermelhas,MG,-15.7463844,-41.46142280000001
Chapada de Minas,Campanário,MG,-18.2387866,-41.7258273
Chapada de Minas,Divino das Laranjeiras,MG,-18.7770317,-41.4792108
Chapada de Minas,Itaipé,MG,-17.4020879,-41.6700625
Chapada de Minas,Mamonas,MG,-15.0487812,-42.9459702
Chapada de Minas,Nacip Raydan,MG,-18.4578824,-42.2491936
Chapada de Minas,São João do Manteninha,MG,-18.7246846,-41.1616361
Chapada de Minas,Serranópolis de Minas,MG,-15.8114454,-42.87097620000001
Chapada de Minas,Gonzaga,MG,-18.8238637,-42.4782353
Chapada de Minas,Pai Pedro,MG,-15.53345,-43.0674343
Chapada de Minas,Virginópolis,MG,-18.821874,-42.7045635
Chapada de Minas,Almenara,MG,-16.1796844,-40.6953223
Chapada de Minas,Cantagalo,MG,-18.5268591,-42.625925
Chapada de Minas,Divinolândia de Minas,MG,-18.8019811,-42.6149689
